Date,Open,High,Low,Close,Volume,Market Cap
2024-08-01,64617.9204,65596.3961,62230.3209,65301.804,21769,1275401473742.0508
2024-07-31,66177.5434,66836.2338,64507.5466,64615.7788,12169,1306758338817.987
2024-07-30,66775.594,67001.7667,65304.5492,66180.4694,12239,1317581413497.2551
2024-07-29,68255.193,70011.6646,66429.8759,66782.9995,18999,1346263382369.5552
2024-07-28,67894.4083,68309.8891,67040.1206,68254.1721,4816,1342889431798.832
2024-07-27,67933.0827,69420.0149,66648.4885,67902.67,14120,1339927966898.6016
2024-07-26,65800.2946,68252.0107,65718.5912,67930.3507,13042,1297125144853.139
2024-07-25,65370.3687,66159.9848,63423.8517,65799.2439,14849,1290447066028.3152
2024-07-24,65948.3817,67132.9745,65107.4463,65376.1734,11439,1300963591115.5374
2024-07-23,67567.3383,67786.817,65451.0213,65942.9473,15659,1333201881091.7786
2024-07-22,68181.8967,68496.075,66578.9525,67566.0392,16059,1343346742483.077
2024-07-21,67170.5364,68380.4631,65834.6905,68180.8762,9203,1325658979467.9998
2024-07-20,66712.7271,67634.4005,66281.0004,67167.2339,6607,1316147398343.7175
2024-07-19,63980.0903,67493.6398,63300.1956,66711.1001,20573,1261456293182.2588
2024-07-18,64096.756,65128.3288,63227.8654,63982.6587,10838,1266016458007.3477
2024-07-17,65087.8466,66133.3216,63863.3166,64093.7365,14307,1284899538175.1812
2024-07-16,64763.3036,65367.6664,62425.675,65089.7077,20571,1277806993830.5176
2024-07-15,60814.5227,64942.3011,60679.629,64766.8665,27666,1204059167828.704
2024-07-14,59246.8885,61436.5853,59236.4684,60825.8906,9347,1168371787725.7102
2024-07-13,57921.8193,59884.8259,57789.3306,59239.3044,6781,1141567375406.1943
2024-07-12,57352.6243,58554.4631,56549.4358,57916.0356,14854,1130276546536.143
2024-07-11,57729.1281,59538.925,57062.0504,57351.9531,16181,1139350681822.5857
2024-07-10,58052.3946,59486.3925,57168.5649,57730.5104,15810,1144794688186.9604
2024-07-09,56714.7773,58301.0296,56297.0214,58055.7414,16724,1117615464651.686
2024-07-08,55864.3083,58207.9795,54297.2586,56712.7571,25909,1100452083927.7026
2024-07-07,58252.3293,58459.4849,55746.0271,55873.3024,7794,1147176330416.144
2024-07-06,56653.9035,58490.8707,56050.0375,58258.0635,9566,1118490666778.4585
2024-07-05,57041.6898,57520.8348,53481.9737,56649.0461,37240,1130121668991.0515
2024-07-04,60163.5651,60439.7319,56726.7324,57049.2,24261,1186937170314.9272
2024-07-03,62050.6461,62207.426,59342.8145,60155.0311,16459,1222901857941.0586
2024-07-02,62835.6639,63225.2546,61155.5633,62046.9449,13419,1238799172479.871
2024-07-01,62680.1992,63805.4658,62459.8882,62836.6611,16173,1236676710888.4822
2024-06-30,60902.7821,62957.0658,60636.2515,62689.4414,6316,1199792912680.844
2024-06-29,60351.777,61159.0118,60317.7892,60917.6357,4782,1189569860170.9426
2024-06-28,61622.258,62173.7588,59892.4368,60327.5649,15027,1213931985719.8025
2024-06-27,60829.411,62356.1977,60565.1319,61635.7151,14273,1198205485427.564
2024-06-26,61800.5949,62474.8979,60667.1578,60821.9519,14506,1217935012739.8113
2024-06-25,60269.3222,62403.3041,60228.4261,61797.4022,21352,1188964670369.4043
2024-06-24,63178.2357,63345.9906,58433.7926,60273.7886,31082,1248188877658.2324
2024-06-23,64259.8383,64516.7634,63157.0977,63187.4435,3512,1266336092890.8738
2024-06-22,64137.861,64532.5391,63935.2992,64256.4758,3235,1263258746635.2896
2024-06-21,64854.2679,65029.9022,63326.1854,64126.3412,13724,1279317116821.3782
2024-06-20,64954.9516,66464.8581,64517.6396,64853.4474,13918,1278699763341.0725
2024-06-19,65161.3908,65717.4684,64656.8101,64957.0403,7065,1282295865979.065
2024-06-18,66487.2549,66573.7735,64026.4311,65159.5009,21603,1309329377372.7744
2024-06-17,66630.5646,67273.1309,65056.6521,66483.472,18813,1313849391756.9756
2024-06-16,66193.2732,66926.3705,66008.0772,66633.1169,3474,1304370314917.9756
2024-06-15,66003.009,66424.2942,65810.8475,66191.9678,3107,1301949410096.3496
2024-06-14,66751.6157,67322.4438,65002.4355,66004.5538,16403,1317161415434.6978
2024-06-13,68248.3123,68467.9331,66212.8081,66739.6731,15676,1345244310606.6863
2024-06-12,67316.5113,70026.5463,66889.8011,68248.5054,22272,1327665028180.276
2024-06-11,69501.328,69548.5697,66032.5416,67317.1249,23048,1369378888543.5315
2024-06-10,69646.0271,70180.5995,69149.6706,69501.4381,8244,1372556186704.501
2024-06-09,69308.9634,69838.3565,69122.6394,69638.9143,2947,1366065699664.3162
2024-06-08,69327.9479,69545.5367,69134.4331,69305.0384,3405,1366366925856.506
2024-06-07,70777.083,71963.2322,68340.9771,69330.6819,20405,1394881646977.521
2024-06-06,71119.5877,71646.0717,70099.6328,70775.8622,11287,1400297735227.1963
2024-06-05,70546.7904,71787.9088,70253.1417,71118.9517,14281,1390853496950.4385
2024-06-04,68794.7811,71101.5573,68548.3679,70547.8996,22694,1355484820107.0864
2024-06-03,67739.0324,70286.0356,67577.7899,68797.486,16664,1335930570689.7126
2024-06-02,67721.4875,68409.6321,67268.139,67741.2921,3979,1333649555935.3523
